Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g),7520legendlarry510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,260,Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g)
Strawberry Freeze (Infused Distillate Luster Pod .84g),7375strawberryfreezeLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,140,$400.00 ,260,Strawberry Freeze (Infused Distillate Luster Pod .84g)
Cherry Ice (Infused Distillate Luster Pod .84g),7366cherryiceLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,140,$400.00 ,260,Cherry Ice (Infused Distillate Luster Pod .84g)
Lemon Drip (Live Rosin Badder .3g),7446lemondripBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,240,$180.00 ,260,Lemon Drip (Live Rosin Badder .3g)
Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g),7473skunkyjack510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,140,$400.00 ,260,Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g)
First Class Funk (CO2 Full Spectrum Luster Pod .84g),7664firstclassfunkLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,60,$400.00 ,260,First Class Funk (CO2 Full Spectrum Luster Pod .84g)
Strawberry Freeze (Infused Distillate Disposable Vape Pen .5g),7375strawberryfreezeDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,200,$750.00 ,250,Strawberry Freeze (Infused Distillate Disposable Vape Pen .5g)
Blood Orange (Infused Distillate Disposable Vape Pen .5g),7251bloodorangeDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,250,$750.00 ,250,Blood Orange (Infused Distillate Disposable Vape Pen .5g)
Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g),7751skunkyjackDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,250,Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g)
Orange MAC (CO2 Full Spectrum Luster Pod .84g),7422orangemacLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,240,Orange MAC (CO2 Full Spectrum Luster Pod .84g)
Granddaddy Purple (Infused Distillate 510 Cartridge .84g),7389granddaddy510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,240,Granddaddy Purple (Infused Distillate 510 Cartridge .84g)
Legendary Larry (CO2 Full Spectrum Luster Pod .84g),7520legendlarryLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,240,Legendary Larry (CO2 Full Spectrum Luster Pod .84g)
Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g),7146skunkyjack510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,240,Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g)
