Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Miracle Mints (CO2 Full Spectrum Luster Pod .84g),7583miraclemintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,120,Miracle Mints (CO2 Full Spectrum Luster Pod .84g)
Right Hook (Live Rosin Badder .84g),7798righthookBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,200,$595.00 ,120,Right Hook (Live Rosin Badder .84g)
Grape Ape (Infused Distillate Disposable Vape Pen .5g),6746grapeapeDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,100,Grape Ape (Infused Distillate Disposable Vape Pen .5g)
Pure Night + CBN (CO2 Full Spectrum Disposable Vape Pen .5g),6937purenightDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,100,Pure Night + CBN (CO2 Full Spectrum Disposable Vape Pen .5g)
Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g),7334skunkyjackDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,100,Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g)
Orange MAC (CO2 Full Spectrum Syringe .5g),7462orangemacSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,20,$260.00 ,100,Orange MAC (CO2 Full Spectrum Syringe .5g)
Crescendo (Live Rosin Badder .84g),7689crescendoBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,80,$595.00 ,100,Crescendo (Live Rosin Badder .84g)
Lilac Diamonds (CDT Distillate Luster Pod .84g),7595lilacdiamondsLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,300,$400.00 ,100,Lilac Diamonds (CDT Distillate Luster Pod .84g)
Sour Mango (Infused Distillate Disposable Vape Pen .5g),9945sourmangoDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,150,$750.00 ,100,Sour Mango (Infused Distillate Disposable Vape Pen .5g)
Legendary Larry (CO2 Full Spectrum Luster Pod .84g),7935legendlarryLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,180,$400.00 ,100,Legendary Larry (CO2 Full Spectrum Luster Pod .84g)
Lemon Drip (CO2 Full Spectrum 510 Cartridge .84g),7084lemondrip510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,100,$400.00 ,100,Lemon Drip (CO2 Full Spectrum 510 Cartridge .84g)
Grape Ice (Infused Distillate 510 Cartridge .84g),7252grapeice510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,220,$400.00 ,100,Grape Ice (Infused Distillate 510 Cartridge .84g)
Lemon Drip (Live Rosin Badder .84g),7446lemondripBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,240,$595.00 ,100,Lemon Drip (Live Rosin Badder .84g)
Legendary Larry (CO2 Full Spectrum Syringe .5g),7378legendlarrySYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,20,$260.00 ,100,Legendary Larry (CO2 Full Spectrum Syringe .5g)
Animal Mints (Live Rosin Badder .84g),9117animalmintsBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,120,$595.00 ,100,Animal Mints (Live Rosin Badder .84g)
Miracle Mints (CO2 Full Spectrum 510 Cartridge .84g),7583miraclemints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,160,$400.00 ,100,Miracle Mints (CO2 Full Spectrum 510 Cartridge .84g)
Blue Dream (Infused Distillate Disposable Vape Pen .5g),7729bluedreamDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,500,$750.00 ,100,Blue Dream (Infused Distillate Disposable Vape Pen .5g)
Coco Freeze (CO2 Full Spectrum 510 Cartridge .84g),7917cocofreeze510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,160,$400.00 ,100,Coco Freeze (CO2 Full Spectrum 510 Cartridge .84g)
Granddaddy Purple (Infused Distillate Disposable Vape Pen .5g),7863grandadpurpDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,200,$750.00 ,100,Granddaddy Purple (Infused Distillate Disposable Vape Pen .5g)
Clementine Banana Punch (Infused Distillate Disposable Vape Pen .5g),7862clembanpunchDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,50,$750.00 ,100,Clementine Banana Punch (Infused Distillate Disposable Vape Pen .5g)
Right Hook (CO2 Full Spectrum Disposable Vape Pen .5g),8149righthookDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,300,$750.00 ,100,Right Hook (CO2 Full Spectrum Disposable Vape Pen .5g)
Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g),8042blueblastDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,200,$750.00 ,100,Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g)
Blue Blast (CO2 Full Spectrum 510 Cartridge .84g),8042blueblast510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,440,$400.00 ,100,Blue Blast (CO2 Full Spectrum 510 Cartridge .84g)
Grape Ice (Infused Distillate Disposable Vape Pen .5g),7980grapeiceDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,550,$750.00 ,100,Grape Ice (Infused Distillate Disposable Vape Pen .5g)
Blue Dream (Infused Distillate 510 Cartridge .84g),7375bluedream510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,80,Blue Dream (Infused Distillate 510 Cartridge .84g)
Blue Dream (Infused Distillate Luster Pod .84g),7375bluedreamLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,0,$400.00 ,80,Blue Dream (Infused Distillate Luster Pod .84g)
Coco Freeze (Live Rosin Badder .84g),7120cocofreezeBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,80,Coco Freeze (Live Rosin Badder .84g)
Gelato (CO2 Full Spectrum Luster Pod .84g),7258gelatoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,100,$400.00 ,80,Gelato (CO2 Full Spectrum Luster Pod .84g)
Strawberry Cough (Infused Distillate 510 Cartridge .84g),7579strawcough510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,520,$400.00 ,80,Strawberry Cough (Infused Distillate 510 Cartridge .84g)
Sour Mango (Infused Distillate 510 Cartridge .84g),7871sourmango510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,320,$400.00 ,80,Sour Mango (Infused Distillate 510 Cartridge .84g)
Granddaddy Purple (Infused Distillate Luster Pod .84g),7863grandadpurpLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,280,$400.00 ,80,Granddaddy Purple (Infused Distillate Luster Pod .84g)
First Class Funk (CO2 Full Spectrum Syringe .5g),7901firstclassfunkSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,180,$260.00 ,80,First Class Funk (CO2 Full Spectrum Syringe .5g)
Clementine Banana Punch (Infused Distillate Luster Pod .84g),7862clembanpunchLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,260,$400.00 ,80,Clementine Banana Punch (Infused Distillate Luster Pod .84g)
Animal Mints (CO2 Full Spectrum 510 Cartridge .84g),7956animalmints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,40,$400.00 ,80,Animal Mints (CO2 Full Spectrum 510 Cartridge .84g)
Animal Mints (CO2 Full Spectrum Luster Pod .84g),7956animalmintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,20,$400.00 ,80,Animal Mints (CO2 Full Spectrum Luster Pod .84g)
Jack (Infused Distillate 510 Cartridge .84g),8260jack510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,140,$400.00 ,80,Jack (Infused Distillate 510 Cartridge .84g)
Lemon Drip (CO2 Full Spectrum Luster Pod .84g),7300lemondripLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,60,Lemon Drip (CO2 Full Spectrum Luster Pod .84g)
Orange MAC (CO2 Full Spectrum 510 Cartridge .84g),7462orangemac510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,200,$400.00 ,60,Orange MAC (CO2 Full Spectrum 510 Cartridge .84g)
Orange MAC (CO2 Full Spectrum Luster Pod .84g),7462orangemacLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,460,$400.00 ,60,Orange MAC (CO2 Full Spectrum Luster Pod .84g)
Hell On Wheels (CO2 Full Spectrum Luster Pod .84g),9913hellonwheelsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,60,Hell On Wheels (CO2 Full Spectrum Luster Pod .84g)
Sour Mango (Infused Distillate Luster Pod .84g),9945sourmangoLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,60,$400.00 ,60,Sour Mango (Infused Distillate Luster Pod .84g)
Miracle Mints (CO2 Full Spectrum Syringe .5g),7583miraclemintsSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,160,$260.00 ,60,Miracle Mints (CO2 Full Spectrum Syringe .5g)
Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g),7751skunkyjack510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,380,$400.00 ,60,Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g)
Blue Dream (Infused Distillate Luster Pod .84g),7729bluedreamLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,360,$400.00 ,60,Blue Dream (Infused Distillate Luster Pod .84g)
Coco Freeze (CO2 Full Spectrum Syringe .5g),7917cocofreezeSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,0,$260.00 ,60,Coco Freeze (CO2 Full Spectrum Syringe .5g)
Granddaddy Purple (Infused Distillate 510 Cartridge .84g),7863grandadpurp510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,300,$400.00 ,60,Granddaddy Purple (Infused Distillate 510 Cartridge .84g)
First Class Funk (CO2 Full Spectrum 510 Cartridge .84g),7901firstclassfunk510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,260,$400.00 ,60,First Class Funk (CO2 Full Spectrum 510 Cartridge .84g)
Skunky Jack (CO2 Full Spectrum Luster Pod .84g),7856skunkyjackLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,280,$400.00 ,60,Skunky Jack (CO2 Full Spectrum Luster Pod .84g)
Crescendo (CO2 Full Spectrum 510 Cartridge .84g),7978crescendo510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,240,$400.00 ,60,Crescendo (CO2 Full Spectrum 510 Cartridge .84g)
Grape Ape (Infused Distillate 510 Cartridge .84g),7880grapeape510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,360,$400.00 ,60,Grape Ape (Infused Distillate 510 Cartridge .84g)
Lemon Drip (Live Rosin Luster Pod .84g),7799lemondripLP,Pure Ohio Wellness,Badder (Live Rosin),Medical,420,$400.00 ,60,Lemon Drip (Live Rosin Luster Pod .84g)
Lemon Drip (CO2 Full Spectrum Disposable Vape Pen .5g),7300lemondripDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,200,$750.00 ,50,Lemon Drip (CO2 Full Spectrum Disposable Vape Pen .5g)
Gelato (CO2 Full Spectrum Disposable Vape Pen .5g),7328gelatoDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,350,$750.00 ,50,Gelato (CO2 Full Spectrum Disposable Vape Pen .5g)
Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g),7488blueblastDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,50,Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g)
Orange MAC (CO2 Full Spectrum Disposable Vape Pen .5g),7462orangemacDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,350,$750.00 ,50,Orange MAC (CO2 Full Spectrum Disposable Vape Pen .5g)
Hot Chocolate (Infused Distillate Disposable Vape Pen .5g),7678hotchocolateDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,50,Hot Chocolate (Infused Distillate Disposable Vape Pen .5g)
Watermelon Myst (Infused Distillate Disposable Vape Pen .5g),7677watermelonmystDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,50,Watermelon Myst (Infused Distillate Disposable Vape Pen .5g)
Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g),9994skunkyjackDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,50,Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g)
Crescendo (CO2 Full Spectrum Disposable Vape Pen .5g),7014crescendoDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,50,$750.00 ,50,Crescendo (CO2 Full Spectrum Disposable Vape Pen .5g)
Legendary Larry (CO2 Full Spectrum Disposable Vape Pen .5g),7935legendlarryDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,100,$750.00 ,50,Legendary Larry (CO2 Full Spectrum Disposable Vape Pen .5g)
Lemon Drip (CO2 Full Spectrum Disposable Vape Pen .5g),7084lemondripDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,150,$750.00 ,50,Lemon Drip (CO2 Full Spectrum Disposable Vape Pen .5g)
Crescendo (CO2 Full Spectrum Disposable Vape Pen .5g),7078crescendoDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,150,$750.00 ,50,Crescendo (CO2 Full Spectrum Disposable Vape Pen .5g)
Miracle Mints (CO2 Full Spectrum Disposable Vape Pen .5g),7583miraclemintsDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,250,$750.00 ,50,Miracle Mints (CO2 Full Spectrum Disposable Vape Pen .5g)
Animal Mints (CO2 Full Spectrum Disposable Vape Pen .5g),7811animalmintsDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,300,$750.00 ,50,Animal Mints (CO2 Full Spectrum Disposable Vape Pen .5g)
Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g),7856skunkyjackDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,450,$750.00 ,50,Skunky Jack (CO2 Full Spectrum Disposable Vape Pen .5g)
Cherry Ice (Infused Distillate Disposable Vape Pen .5g),8197cherriceDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,250,$750.00 ,50,Cherry Ice (Infused Distillate Disposable Vape Pen .5g)
NYC Diesel (Infused Distillate Disposable Vape Pen .5g),8256nycdieselDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,400,$750.00 ,50,NYC Diesel (Infused Distillate Disposable Vape Pen .5g)
Animal Mints (CDT Distillate 510 Cartridge .84g),7330animalmints510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,40,Animal Mints (CDT Distillate 510 Cartridge .84g)
Gelato (CO2 Full Spectrum Luster Pod .84g),7328gelatoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,40,Gelato (CO2 Full Spectrum Luster Pod .84g)
Skunky Jack (CO2 Full Spectrum Syringe .5g),7334skunkyjackSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,0,$260.00 ,40,Skunky Jack (CO2 Full Spectrum Syringe .5g)
Blue Blast (CO2 Full Spectrum 510 Cartridge .84g),7488blueblast510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,40,Blue Blast (CO2 Full Spectrum 510 Cartridge .84g)
Hot Chocolate (Infused Distillate 510 Cartridge .84g),7678hotchocolate510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,40,Hot Chocolate (Infused Distillate 510 Cartridge .84g)
Apple Cider (Infused Distillate Luster Pod .84g),9946appleciderLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,40,$400.00 ,40,Apple Cider (Infused Distillate Luster Pod .84g)
Gelato (CO2 Full Spectrum 510 Cartridge .84g),7277gelato510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,380,$400.00 ,40,Gelato (CO2 Full Spectrum 510 Cartridge .84g)
Pineapple Coconut (Infused Distillate 510 Cartridge .84g),7374pinecoco510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,240,$400.00 ,40,Pineapple Coconut (Infused Distillate 510 Cartridge .84g)
Grape Cookies (Live Rosin Badder .84g),7496grapecookiesBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,40,Grape Cookies (Live Rosin Badder .84g)
Miracle Mints (CO2 Full Spectrum 510 Cartridge .84g),7561miraclemints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,420,$400.00 ,40,Miracle Mints (CO2 Full Spectrum 510 Cartridge .84g)
Miracle Mints (CO2 Full Spectrum Luster Pod .84g),7740miraclemintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,340,$400.00 ,40,Miracle Mints (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (CO2 Full Spectrum Syringe 0.5g),7811animalmintsSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,160,$260.00 ,40,Animal Mints (CO2 Full Spectrum Syringe 0.5g)
Animal Mints (CO2 Full Spectrum Luster Pod .84g),7811animalmintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,460,$400.00 ,40,Animal Mints (CO2 Full Spectrum Luster Pod .84g)
Skunky Jack (CO2 Full Spectrum Syringe .5g),7856skunkyjackSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,160,$260.00 ,40,Skunky Jack (CO2 Full Spectrum Syringe .5g)
Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g),7856skunkyjack510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,240,$400.00 ,40,Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g)
Crescendo (CO2 Full Spectrum Luster Pod .84g),7978crescendoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,260,$400.00 ,40,Crescendo (CO2 Full Spectrum Luster Pod .84g)
First Class Funk (Live Rosin Badder .84g),7981firstclassfunkBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,360,$595.00 ,40,First Class Funk (Live Rosin Badder .84g)
Right Hook (CO2 Full Spectrum Syringe .5g),8149righthookSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,120,$260.00 ,40,Right Hook (CO2 Full Spectrum Syringe .5g)
Right Hook (CO2 Full Spectrum 510 Cartridge .84g),8149righthook510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,320,$400.00 ,40,Right Hook (CO2 Full Spectrum 510 Cartridge .84g)
Right Hook (CO2 Full Spectrum Luster Pod .84g),8149righthookLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,220,$400.00 ,40,Right Hook (CO2 Full Spectrum Luster Pod .84g)
Cherry Ice (Infused Distillate 510 Cartridge .84g),8197cherryice510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,480,$400.00 ,40,Cherry Ice (Infused Distillate 510 Cartridge .84g)
NYC Diesel (Infused Distillate 510 Cartridge .84g),8256nycdiesel510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,240,$400.00 ,40,NYC Diesel (Infused Distillate 510 Cartridge .84g)
Menthol (Infused Distillate 510 Cartridge .84g),6747menthol510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,20,Menthol (Infused Distillate 510 Cartridge .84g)
White Gusherz (Infused Distillate 510 Cartridge .84g),7121whitegusherz510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,20,White Gusherz (Infused Distillate 510 Cartridge .84g)
Hell On Wheels (CO2 Full Spectrum Syringe .5g),7291hellonwheelsSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,0,$260.00 ,20,Hell On Wheels (CO2 Full Spectrum Syringe .5g)
Grape Ice (Infused Distillate Luster Pod .84g),7376grapeiceLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,20,$400.00 ,20,Grape Ice (Infused Distillate Luster Pod .84g)
Gelato (Live Rosin Badder .84g),7795gelatoBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,460,$595.00 ,20,Gelato (Live Rosin Badder .84g)
Apple Cider (Infused Distillate 510 Cartridge .84g),9946applecider510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,240,$400.00 ,20,Apple Cider (Infused Distillate 510 Cartridge .84g)
Crescendo (CO2 Full Spectrum Syringe .5g),7014crescendoSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,140,$260.00 ,20,Crescendo (CO2 Full Spectrum Syringe .5g)
Crescendo (CO2 Full Spectrum 510 Cartridge .84g),7078crescendo510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,280,$400.00 ,20,Crescendo (CO2 Full Spectrum 510 Cartridge .84g)
Crescendo (CO2 Full Spectrum Luster Pod .84g),7078crescendoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,280,$400.00 ,20,Crescendo (CO2 Full Spectrum Luster Pod .84g)
Menthol (Infused Distillate 510 Cartridge .84g),7582menthol510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,340,$400.00 ,20,Menthol (Infused Distillate 510 Cartridge .84g)
Menthol (Infused Distillate Luster Pod .84g),7582mentholLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,440,$400.00 ,20,Menthol (Infused Distillate Luster Pod .84g)
Miracle Mints (CO2 Full Spectrum Luster Pod .84g),7561miraclemintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,600,$400.00 ,20,Miracle Mints (CO2 Full Spectrum Luster Pod .84g)
First Class Funk (CO2 Full Spectrum Luster Pod .84g),7901firstclassfunkLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,380,$400.00 ,20,First Class Funk (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (CO2 Full Spectrum Syringe .5g),7883animalmintsSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,120,$260.00 ,20,Animal Mints (CO2 Full Spectrum Syringe .5g)
Grape Ape (Infused Distillate Luster Pod .84g),7880grapeapeLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,320,$400.00 ,20,Grape Ape (Infused Distillate Luster Pod .84g)
Lemon Cloud (Infused Distillate Luster Pod .84g),7963lemoncloudLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,380,$400.00 ,20,Lemon Cloud (Infused Distillate Luster Pod .84g)
Jokerz (Live Rosin Badder .3g),9229jokerzBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,120,$180.00 ,20,Jokerz (Live Rosin Badder .3g)
